	595.875105781	1750.14635811	863.409501145	32.7248315855	110.520613583	1884.73162688	1357.39879582	328.682354904;
	798.854994863	1166.84015393	-375.259617538	806.455012847	-874.549074853	1260.6850503	-28.6349894907	238.598308799;
	340.099316406	242.24747513	679.670281305	156.672204076	907.334509757	1954.4394304	-846.184584769	1408.24591341;
	597.065557194	1351.89464181	1445.27120811	400.560339223	606.204160002	2802.68611463	706.307566448	965.208483212;
	1337.94199642	749.255696267	325.876386168	1235.7960498	-362.435341123	2224.26033984	-907.682097832	230.082678952;
	1042.32075446	839.427787026	8.10462253644	1038.72094471	-330.96252905	2100.80046511	-736.573762045	715.720625661;
	892.738914939	674.454738486	920.921861386	515.305136804	171.1469363	2031.00283452	-544.193898506	755.646944477;
	1097.12329684	1118.62419419	939.040380235	251.858123316	193.667180347	2311.58679279	702.385057625	491.729042618;
	1477.07484164	1166.48929769	147.541998291	1009.29899385	-1164.11613256	2013.68246827	489.440765156	-239.107545113;
	1546.99695128	1253.4466188	-102.750476218	777.307810828	-695.056086434	1591.67937165	-138.937673582	416.35450166;
	-1345.45494858	1683.03123211	-104.769905765	-611.399356012	802.022580762	-1836.29946573	33.0999813814	1.43581643559;
	-824.067107782	1960.66608919	-314.979824766	-1233.76108166	486.942000797	-566.36781615	922.178945717	68.5604834852;
	-1077.04327146	2029.66158609	-143.325795474	-816.231384652	262.547521051	-1781.45431017	114.119451429	-290.768122282;
	-817.833236791	1927.20450677	-382.685772825	-460.598059832	95.8146738319	-1875.88049285	301.923982483	-726.438435705;
	-912.704310636	1620.73698387	-524.242478295	-448.292544203	246.652874011	-1777.27733882	146.735907374	-504.813901733;
	-983.369341948	2615.19175097	-539.263890527	-1344.47695761	397.093901025	-1488.90944762	577.017628903	15.375170967;
	-625.947374449	3134.58533778	-457.539436557	-528.763823201	-8.79330362111	-2144.92804655	-118.603392809	-644.71590551;
	-475.051484547	2743.12722303	-467.071161005	-231.704690364	-306.317467607	-2112.1237606	198.132415355	-1042.62384823;
	-906.308937723	2900.4462814	-467.345557621	-742.115553027	93.0576065452	-1844.04206071	251.16640272	-232.505748496;
	-1332.43991204	1858.79225327	-439.985045076	-1124.17987999	686.022382541	-1474.98667813	793.727955611	98.5825631478;
	-34.4845474307	353.498073005	-361.201605316	-234.823840261	323.716514792	-63.197280788	2071.63433869	-212.421621623;
	-310.574115562	224.450892706	-981.244142295	-540.250645598	420.464497131	-700.085315889	1720.16603619	30.6873164909;
	-652.127602353	198.256732139	546.137939323	-236.392337151	396.444229439	517.186994055	1930.39384815	-327.207652701;
	-67.2688661638	317.091857633	43.9235004651	38.0734291698	400.941074203	674.126760657	2188.9257358	-89.961422844;
	308.119262719	-198.217412571	233.18488257	498.121612259	-178.70745997	1523.79726818	2041.49360825	364.195408262;
	181.322110384	-68.1494614628	5.24883580775	485.266505917	-491.819864488	1245.50233294	2001.26971569	337.197262309;
	-470.693118859	573.164356066	-271.19091195	-601.598117081	692.149153554	-104.049046514	1838.66408811	-61.2180916181;
	-310.471295723	218.18564988	-1273.18038803	-409.999487692	-143.348764861	-469.404298069	1821.26432676	188.251458717;
	-176.059451157	60.6340283384	-1367.32324884	47.2749444661	-460.282731664	-326.84897283	1494.89177937	292.218951547;
	-145.892245445	-85.6769414545	-530.198313422	6.18242077247	160.240466342	482.882016225	2085.68039892	389.775463755;
	-484.931093682	944.742096146	420.169420313	-748.794624759	356.374381152	1628.98945997	283.758978041	693.763487724;
	-935.454186397	656.798934585	45.8081520822	-1223.49255879	433.31060375	638.404938893	91.6061539663	585.011445594;
	-861.594365592	-189.56480984	543.918918811	-885.61008405	236.51260391	838.695262232	-192.280641524	242.731377417;
	-630.341465629	-17.7762519451	568.575307649	-567.404688974	426.33509675	1018.95931405	-396.202672436	627.590057856;
	-988.575637418	-365.346568481	475.331823295	-1073.93541336	842.192666134	738.158473695	-325.875250709	966.255525524;
	-928.596727548	170.316752383	149.784048913	-705.554890839	425.495827312	409.044446325	-425.05172816	95.5395117497;
	-283.190676143	786.968305712	175.648339529	-523.097787912	-367.53220254	1053.93919154	-109.039022522	87.6940135033;
	-786.034797032	-329.621032119	440.467353753	-1041.20477781	238.966538262	571.02131232	-364.607751678	319.10555376;
	-972.630284651	704.843677957	4.86925382082	-1196.86896339	655.453688126	1049.81337273	183.264685304	1131.37621186;
	-1022.48254542	873.666606476	-40.0139755753	-1242.77343884	770.949414101	615.433073874	23.9272064034	925.335681364;
	-122.418474485	-760.329111625	577.712318548	-405.925097232	787.432441	1795.90858107	-785.245615551	1460.38926269;
	-87.0396496224	-288.233739342	317.354069926	-373.089340925	646.917931164	1649.21241524	-556.086521871	1468.77407458;
	-231.222049886	-932.061604638	564.65256738	-364.771471643	878.158704416	1699.66802826	-1014.01708022	1502.81290878;
	261.338189567	-597.79660093	896.592577357	123.330364144	868.450622307	2141.34437202	-859.373611559	1236.73103315;
	330.452586252	-724.673007415	797.529607801	80.3868480378	680.304202313	1902.18498389	-878.74921383	951.921937199;
	39.4405363171	-308.627886794	206.453301558	-339.43844228	686.868622536	1659.55397769	-649.246967095	1403.70788651;
	-59.0998387161	-307.993135171	-286.271724314	89.486555084	259.862016551	1080.25619523	-1042.02590653	1118.74674868;
	51.4710595386	-91.2459546349	306.059137148	-444.417014555	615.016728392	1826.13042885	-704.213224577	1346.35104765;
	-64.7929314399	-82.4906842818	290.739046066	-445.58527189	634.797230223	1821.20317255	-632.812309992	1310.78789101;
